,AgeCategory,WeeklyWorkingHours,WorkClass,Education,MaritalStatus,Occupation,Relationship,Race,Sex,NativeCountry
original0,AgeCat-20-30,HoursCat-50-60,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,United-States
original1,AgeCat-20-30,HoursCat-50-60,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,United-States
random0,AgeCat-30-40,HoursCat-40-50,Private,Masters,Married-civ-spouse,Exec-managerial,Unmarried,White,Female,United-States
random1,AgeCat-40-50,HoursCat-30-40,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Unmarried,Black,Female,Mexico
random2,AgeCat-40-50,HoursCat-30-40,Self-emp-not-inc,Bachelors,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,United-States
random3,AgeCat-30-40,HoursCat-10-20,Private,Some-college,Divorced,Prof-specialty,Not-in-family,White,Female,United-States
random4,AgeCat-30-40,HoursCat-0-10,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,United-States
random5,AgeCat-40-50,HoursCat-80-90,Private,Some-college,Divorced,Exec-managerial,Unmarried,White,Male,United-States
random6,AgeCat-30-40,HoursCat-30-40,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States
random7,AgeCat-50-60,HoursCat-30-40,Private,HS-grad,Married-civ-spouse,Other-service,Own-child,Other,Female,United-States
random8,AgeCat-60-70,HoursCat-30-40,Private,Grade-11th,Never-married,Handlers-cleaners,Wife,Black,Female,United-States
random9,AgeCat-30-40,HoursCat-40-50,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,United-States
random10,AgeCat-40-50,HoursCat-40-50,Self-emp-inc,Grade-9th,Married-civ-spouse,Exec-managerial,Own-child,White,Male,United-States
random11,AgeCat-30-40,HoursCat-0-10,Private,Grade-10th,Divorced,Exec-managerial,Husband,White,Male,United-States
random12,AgeCat-30-40,HoursCat-40-50,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Female,Puerto-Rico
random13,AgeCat-50-60,HoursCat-20-30,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Female,United-States
random14,AgeCat-20-30,HoursCat-50-60,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Female,United-States
random15,AgeCat-20-30,HoursCat-30-40,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States
random16,AgeCat-10-20,HoursCat-30-40,Private,Grade-7th-8th,Divorced,Exec-managerial,Husband,White,Female,United-States
random17,AgeCat-50-60,HoursCat-0-10,State-gov,HS-grad,Married-civ-spouse,Other-service,Not-in-family,White,Male,United-States
random18,AgeCat-40-50,HoursCat-40-50,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,United-States
random19,AgeCat-50-60,HoursCat-30-40,Private,Bachelors,Never-married,Other-service,Unmarried,Black,Male,United-States
random20,AgeCat-60-70,HoursCat-30-40,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States
random21,AgeCat-40-50,HoursCat-50-60,Private,HS-grad,Divorced,Sales,Not-in-family,White,Male,United-States
random22,AgeCat-30-40,HoursCat-30-40,Private,Some-college,Divorced,Farming-fishing,Husband,White,Male,United-States
